segment_id,road_name,road_type,risk_category,road_risk_score,ai_risk_label,ai_risk_probability,prob_low_risk,prob_medium_risk,prob_high_risk,prob_critical_risk,ai_recommended_speed,recommended_safe_speed,road_function_score,infrastructure_score,exposure_score,human_tolerance_limit,operating_speed_score,crash_risk_score,start_km,end_km,start_lat,start_lon,end_lat,end_lon,geometry,posted_speed_limit,pedestrian_exposure_score,blackspot_flag,crash_count,fatal_crashes,schools_count,lighting_quality,roadside_hazards,intersection_density,speed_compliance_rate,speed_violation_score,hotspot_score,hotspot_category,human_segment_id,internal_id,speed_safety_score,original_safe_speed,misalignment_score,misalignment_category,speed_p85,ptw_share_pct,exposure_tier,urban_rural_flag,lane_count,median_presence,land_use_type,top_ai_factors,corridor_base,corridor_seq,congestion_index,congestion_category,congestion_smoothed,operating_speed_mean
507,Anekal-Attibele Rd (SH-82) Seg-1,Highway,Moderate Misalignment,46,Moderate Misalignment,0.4846641895000693,0.19051989354179158,0.4846641895000693,0.3246425248265719,0.00017339213156728278,50,50,100.0,0.0,12.2,50,63.7,3,0.0,0.896,12.71,77.695,12.714545454545457,77.70181818181817,"LINESTRING(77.695 12.71, 77.701818 12.714545)",70,0.3,No,1,0,0,Poor,Medium,0.14,1.0,0.0,35.0,Moderate Risk,SEG-00507,SEG_000000507,53.5,50,43.1,Moderate Misalignment,64.1,40.2,Side Impact Potential,Rural,7,False,Residential,Poor Infrastructure | Above Human Tolerance Limit,Anekal-Attibele Rd (SH-82),0,0.233,Light,False,45.8
508,Anekal-Attibele Rd (SH-82) Seg-2,Highway,Aligned,21,Aligned,0.6477464622666611,0.6477464622666611,0.34044741955311,0.011799903117125816,6.2150631030552e-06,54,54,100.0,0.0,13.0,80,67.8,0,0.896,1.792,12.714545454545457,77.70181818181817,12.71909090909091,77.70863636363636,"LINESTRING(77.701818 12.714545, 77.708636 12.719091)",60,5.5,No,0,0,0,Good,Low,0.12,1.0,0.0,22.0,Safe,SEG-00508,SEG_000000508,69.6,54,17.4,Aligned,54.4,33.2,Separated Traffic,Rural,5,True,Residential,Poor Infrastructure,Anekal-Attibele Rd (SH-82),1,0.245,Light,False,38.5
509,Anekal-Attibele Rd (SH-82) Seg-3,Highway,Aligned,20,Aligned,0.7885481235638647,0.7885481235638647,0.10558382679368082,0.1058598182090485,8.231433405868485e-06,80,80,100.0,5.9,16.8,80,68.9,0,1.7920000000000005,2.688,12.71909090909091,77.70863636363636,12.723636363636365,77.71545454545453,"LINESTRING(77.708636 12.719091, 77.715455 12.723636)",90,7.7,No,0,0,0,Poor,Low,0.12,0.68,32.0,44.2,Moderate Risk,SEG-00509,SEG_000000509,44.5,80,61.1,High Misalignment,119.1,42.1,Separated Traffic,Rural,5,True,Commercial,Speed Limit Misaligned | Poor Infrastructure | Above Human Tolerance Limit,Anekal-Attibele Rd (SH-82),2,0.0,,False,110.8
510,Anekal-Attibele Rd (SH-82) Seg-4,Highway,Aligned,14,Aligned,0.8857536034232725,0.8857536034232725,0.11012960154528474,0.004108408004374296,8.387027068431572e-06,62,62,100.0,9.4,15.9,80,70.3,0,2.688,2.888,12.723636363636365,77.71545454545453,12.72465,77.71697499999999,"LINESTRING(77.715455 12.723636, 77.716975 12.72465)",70,6.8,No,0,0,0,Poor,Medium,0.16,1.0,0.0,21.6,Safe,SEG-00510,SEG_000000510,71.6,62,17.2,Aligned,61.6,40.0,Separated Traffic,Rural,5,True,Industrial,Poor Infrastructure,Anekal-Attibele Rd (SH-82),3,0.0,,False,50.2
511,Anekal-Attibele Rd (SH-82) Seg-5,Highway,Moderate Misalignment,35,Moderate Misalignment,0.6483804065792009,0.2638584861253011,0.6483804065792009,0.0875599330261457,0.0002011742693523443,80,80,100.0,9.4,17.7,80,86.4,0,2.888,3.265,12.72465,77.71697499999999,12.726565,77.7198475,"LINESTRING(77.716975 12.72465, 77.719848 12.726565)",90,9.6,No,0,0,0,Poor,Low,0.17,0.84,16.0,36.3,Moderate Risk,SEG-00511,SEG_000000511,54.5,80,45.6,Moderate Misalignment,104.3,42.2,Separated Traffic,Rural,8,True,Residential,Poor Infrastructure | Above Human Tolerance Limit,Anekal-Attibele Rd (SH-82),4,0.157,Light,False,81.0
512,Anekal-Attibele Rd (SH-82) Seg-6,Highway,Aligned,14,Aligned,0.8653049062617234,0.8653049062617234,0.13038840698613688,0.004297530010994078,9.156741145681272e-06,50,50,100.0,10.6,16.5,80,66.4,0,3.265,3.584,12.726565,77.7198475,12.728181818181818,77.72227272727272,"LINESTRING(77.719848 12.726565, 77.722273 12.728182)",60,9.8,No,0,0,0,Poor,Low,0.18,1.0,0.0,21.7,Safe,SEG-00512,SEG_000000512,71.7,50,17.3,Aligned,50.2,37.0,Separated Traffic,Rural,6,True,Residential,Poor Infrastructure,Anekal-Attibele Rd (SH-82),5,0.19,Light,False,37.6
513,Anekal-Attibele Rd (SH-82) Seg-7,Highway,Aligned,16,Aligned,0.7958285152796408,0.7958285152796408,0.19348339858610195,0.010670656266247913,1.7429868009273225e-05,70,70,100.0,0.0,16.6,80,78.2,13,3.5840000000000005,4.48,12.728181818181818,77.72227272727272,12.732727272727272,77.7290909090909,"LINESTRING(77.722273 12.728182, 77.729091 12.732727)",80,5.1,Yes,1,1,0,Good,Medium,0.15,1.0,0.0,25.4,Moderate Risk,SEG-00513,SEG_000000513,66.2,70,18.7,Aligned,70.4,46.3,Separated Traffic,Rural,6,True,Residential,Poor Infrastructure,Anekal-Attibele Rd (SH-82),6,0.0,,False,65.5
514,Anekal-Attibele Rd (SH-82) Seg-8,Highway,Aligned,20,Aligned,0.6857442186257695,0.6857442186257695,0.2949915440333746,0.01925036322124204,1.3874119613871279e-05,51,51,100.0,7.1,16.4,80,55.3,0,4.48,5.376,12.732727272727272,77.7290909090909,12.737272727272728,77.73590909090909,"LINESTRING(77.729091 12.732727, 77.735909 12.737273)",70,5.2,No,0,0,0,Poor,Low,0.18,1.0,0.0,22.2,Safe,SEG-00514,SEG_000000514,70.8,51,17.7,Aligned,51.0,46.0,Separated Traffic,Rural,4,True,Residential,Poor Infrastructure,Anekal-Attibele Rd (SH-82),7,0.146,Light,False,40.2
515,Anekal-Attibele Rd (SH-82) Seg-9,Highway,Moderate Misalignment,41,Moderate Misalignment,0.9043733648824935,0.043268325248628864,0.9043733648824935,0.04680857901619281,0.0055497308526846235,80,80,100.0,0.0,15.1,80,96.7,0,5.376,6.272,12.737272727272728,77.73590909090909,12.741818181818182,77.74272727272727,"LINESTRING(77.735909 12.737273, 77.742727 12.741818)",90,7.7,No,0,0,0,Poor,High,0.14,0.71,29.0,42.7,Moderate Risk,SEG-00515,SEG_000000515,45.3,80,57.9,High Misalignment,115.8,36.9,Separated Traffic,Rural,5,True,Residential,Speed Limit Misaligned | Poor Infrastructure | Above Human Tolerance Limit,Anekal-Attibele Rd (SH-82),8,0.186,Light,False,87.8
516,Anekal-Attibele Rd (SH-82) Seg-10,Highway,High Misalignment,72,High Misalignment,0.399222611021062,0.022030085119473814,0.262202975255546,0.399222611021062,0.31654432860391823,50,50,100.0,0.0,16.7,50,86.6,0,6.272,7.168,12.741818181818182,77.74272727272727,12.746363636363636,77.74954545454545,"LINESTRING(77.742727 12.741818, 77.749545 12.746364)",80,9.5,No,0,0,0,Good,High,0.18,0.76,24.0,53.0,High Risk,SEG-00516,SEG_000000516,33.4,50,77.7,Critical Misalignment,99.4,38.9,Side Impact Potential,Rural,7,False,Industrial,Speed Limit Misaligned | Poor Infrastructure | Above Human Tolerance Limit,Anekal-Attibele Rd (SH-82),9,0.0,,False,88.9
